school_year,district,school,director,piece_slot,raw_string,parsed_title,parsed_composer,parsed_arranger,pdf_grade,confidence
2024-2025,8,Colonial High School Symphonic Band,William Andrew Jenkins,2,"Until We Dream Samuel, David","Until We Dream Samuel, David",,,3,LOW
2024-2025,8,Timber Creek High School Symphonic Band,"Devin Hoey, Rhett Cox, Katie Hoey, Jonathan Tirado",1,Ancient and Honorable Artillery Sousa,Ancient and Honorable Artillery Sousa,,,,LOW
2024-2025,8,Horizon High School Concert Band,Charlene Cannon,1,Doolittle's Raiders John Edmondson,Doolittle's Raiders John Edmondson,,,,LOW
2024-2025,8,Maynard Evans High School Symphonic Band,Mario L. Ford,1,Beau Ideal Sousa,Beau Ideal Sousa,,,,LOW
2024-2025,8,West Orange High School Freshman Band,"Kenneth Boyd, Garth Steger, Robert Krahn",3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,8,West Orange High School Symphonic Band,Robert Krahn,1,"Imperial Karl L. King, arr. Swearingen",Imperial Karl L. King,,Swearingen,,LOW
2024-2025,8,OCPS Academic Center For Excellence Symphonic Band MC,Robert Herrera,1,The Bandmaster Matthew R. Putnam,The Bandmaster Matthew R. Putnam,,,,LOW
2024-2025,8,Hamlin Middle School Wind Ensemble MC,Amy Wacksman; Colin Urbina,1,Streets of Madrid John Moss,Streets of Madrid John Moss,,,,LOW
2024-2025,8,Howard Middle School (Orange) Wind Ensemble MB,Damon Wille,1,Luz Y Sombra Vargas,Luz Y Sombra Vargas,,,,LOW
2024-2025,8,Howard Middle School (Orange) Wind Ensemble MB,Damon Wille,2,"Dublin Town Milford, Gene","Dublin Town Milford, Gene",,,2,LOW
2024-2025,8,Wolf Lake Middle School Wind Ensemble MB,Charles Kelly,1,Knights of Victory Mekel Rogers,Knights of Victory Mekel Rogers,,,,LOW
2024-2025,8,Apopka Middle School Wind Ensemble MD,Carol Kelly,1,Knights of Victory Mekel Rogers,Knights of Victory Mekel Rogers,,,,LOW
2024-2025,8,Wedgefield School Wind Ensemble MC,Ms. Hannah Vinney,1,Admiration Clark,Admiration Clark,,,,LOW
2024-2025,8,Bridgewater Middle School Wind Symphony MB,Kyle Sargent,1,Shadow Cove March Randall Standridge,Shadow Cove March Randall Standridge,,,,LOW
2024-2025,8,Hunter's Creek Middle School Wind Ensemble MB,Rafael Couret,1,Streets of Madrid John Moss,Streets of Madrid John Moss,,,,LOW
2024-2025,8,Hunter's Creek Middle School Wind Ensemble MB,Rafael Couret,2,"Turquoise Owens, William","Turquoise Owens, William",,,2,LOW
2024-2025,9,Northeast High School (Pinellas) Symphonic Band,Devon Porter,1,The Boom Boom Gallop Randall D. Standridge,The Boom Boom Gallop Randall D. Standridge,,,,LOW
2024-2025,9,St. Petersburg Senior High School Symphonic Band,Katie Aucremann,2,"Tha Mi Sgith Beck, Brian (arr.)","Tha Mi Sgith Beck, Brian (arr.)",,,3,LOW
2024-2025,9,Boca Ciega High School Concert Band E,Joe Sipiora,2,"Turquoise Owens, William","Turquoise Owens, William",,,2,LOW
2024-2025,9,Palm Harbor University High School Symphonic Band,Greg Urban,1,El Zorro Rojo Standridge,El Zorro Rojo Standridge,,,,LOW
2024-2025,9,Northside Christian School Royal Ambassador Symphonic Band,Nathan Farrell,1,"The Salvation Army Sousa, arr. Mark Prowen",The Salvation Army Sousa,,Mark Prowen,,LOW
2024-2025,9,Northside Christian School Royal Ambassador Symphonic Band,Nathan Farrell,2,"Until We Dream Samuel, David","Until We Dream Samuel, David",,,3,LOW
2024-2025,9,Pinellas Park High School Symphonic Band E,Jacob Provino,2,"Turquoise Owens, William","Turquoise Owens, William",,,2,LOW
2024-2025,9,Seminole Middle School (Pinellas) Symphonic Band MD,Jordan Harris,1,"All for One, One for All Carol Britten Chamber","All for One, One for All Carol Britten Chamber",,,,LOW
2024-2025,9,Osceola Middle School (Pinellas) Symphonic Band MC,Amari McDuffie,2,"Scarborough Fantasy Huss, Christina & R. Alan Carter","Scarborough Fantasy Huss, Christina & R. Alan Carter",,,2,LOW
2024-2025,10,Space Coast Jr./Sr. High School Wind Symphony,Kaleb DuBose,1,Shadow Cove March Randall Standridge,Shadow Cove March Randall Standridge,,,,LOW
2024-2025,10,Bayside High School Wind Ensemble,Pablo Elias-Rodriguez and Andres Delgado,1,Belle of Chicago John Philip Sousa,Belle of Chicago John Philip Sousa,,,,LOW
2024-2025,10,Thomas Jefferson Middle School (Merritt Island) Symphonic Band MC,Shane O'Leary,1,Geyser Point March Chris Ferguson,Geyser Point March Chris Ferguson,,,,LOW
2024-2025,10,Titusville High School Wind Symphony,Ian Schwindt,3,"Tha Mi Sgith Beck, Brian (arr.)","Tha Mi Sgith Beck, Brian (arr.)",,,3,LOW
2024-2025,10,Odyssey Charter School Symphonic Band MD,Marli Kevelin,1,Crystal Creek Matthew Putnam,Crystal Creek Matthew Putnam,,,,LOW
2024-2025,10,Lyndon B. Johnson Middle School Advanced Band MC,Mason Taylor,1,"All for One, One for All Carol Chambers","All for One, One for All Carol Chambers",,,,LOW
2024-2025,10,Merritt Island High School Wind Symphony,Kevin Bennet,1,Imperial Karl King/James Swearingen,Imperial Karl King,,James Swearingen,,LOW
2024-2025,11,Manatee High School Freshman Band,Carlos Galletti,1,The Bandmasters Matthew R. Putname,The Bandmasters Matthew R. Putname,,,,LOW
2024-2025,11,Riverview High School (Sarasota) Varsity Band,Tamara Lewis,1,New South Wales Edmondson,New South Wales Edmondson,,,,LOW
2024-2025,11,Booker High School VPA Wind Ensemble,Joshua Parisi,1,Free World Karl King/James Swearingen,Free World Karl King,,James Swearingen,,LOW
2024-2025,11,Braden River High School Wind Ensemble,Cliff Dawson,1,Flying High Larry Clark,Flying High Larry Clark,,,,LOW
2024-2025,11,Venice High School Symphonic Band,Preston Ridgell and David Wing,1,Amazonas March arr. Ralph Ford,Amazonas March,,Ralph Ford,,LOW
2024-2025,11,Venice High School Symphonic Band,Preston Ridgell and David Wing,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,11,Pine View School Wind Ensemble,Norm Vagn,1,El Rey Del Paso Ray Lombrette,El Rey Del Paso Ray Lombrette,,,,LOW
2024-2025,11,North Port High School Symphonic Band,Lorianne Alegria,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,11,Parrish Community High School Concert Band,Ron Lambert,1,Kvetchers Laura Estes,Kvetchers Laura Estes,,,,LOW
2024-2025,11,Charlotte High School Wind Orchestra,Tommy Bunnens,1,La Fiera Asturiana Michele Fernandez,La Fiera Asturiana Michele Fernandez,,,,LOW
2024-2025,11,Electa Lee Middle School Symphonic Band MC,Jacob Grimes,1,Liberty Square March Chris Ferguson,Liberty Square March Chris Ferguson,,,,LOW
2024-2025,11,Sarasota Middle School Symphonic Band MD,Zachary McKee,1,Swashbucklers March Mark Williams,Swashbucklers March Mark Williams,,,,LOW
2024-2025,11,Woodland Middle School Woodland Middle School Wind Ensemble MB,Thomas Dubbert,1,Fleet Street March Laura Estes,Fleet Street March Laura Estes,,,,LOW
2024-2025,11,Sarasota School of Arts and Sciences Wind Ensemble MC,Shanna Holland,1,The Golden Thirteen Timothy Loest,The Golden Thirteen Timothy Loest,,,,LOW
2024-2025,12,Kathleen Senior High School Concert Band,Anithio Miller,1,Kinderlou Alan Carter,Kinderlou Alan Carter,,,,LOW
2024-2025,12,Kathleen Senior High School Concert Band,Anithio Miller,3,"As Days Go By Swearingen, James","As Days Go By Swearingen, James",,,2,LOW
2024-2025,12,Ridge Community Senior High School Concert Band,"Armand Navarro, Philip Holt",1,Courage Harold Bennett arr. Clark,Courage Harold Bennett,,Clark,,LOW
2024-2025,12,Hardee Senior High School Symphonic Band,Justin Graham,1,Success Bennet/Clark,Success Bennet,,Clark,,LOW
2024-2025,12,Haines City Senior High School HCHS Concert Band,David Sanders,1,Lone Star Frank Piersol,Lone Star Frank Piersol,,,,LOW
2024-2025,12,Westwood Middle School (Polk) Concert Band MD,Mike Gunter,1,The Bandmasters Matthew R. Putnam,The Bandmasters Matthew R. Putnam,,,,LOW
2024-2025,12,Hardee Junior High School Intermediate Band MD,Shayla Bryan,1,First Expedition March Ferguson,First Expedition March Ferguson,,,,LOW
2024-2025,12,Lakeland Christian School Middle School Band MC,"Kathy Johnson, Mindi Mulligan",2,"As Days Go By Swearingen, James","As Days Go By Swearingen, James",,,2,LOW
2024-2025,12,Hardee Junior High School Advanced Band MC,Shayla Bryan,1,The Bandmasters Putnam,The Bandmasters Putnam,,,,LOW
2024-2025,12,Jewett School of the Arts Symphonic Band MC,Robert Smith,1,Sucess March Bennet/Clark,Sucess March Bennet,,Clark,,LOW
2024-2025,13,Lake Placid High School Concert Band E,John Panella,1,"Blackthorn March Standridge, Randall","Blackthorn March Standridge, Randall",,,,LOW
2024-2025,13,Jensen Beach High School Concert Band,Thomas C. Dougherty,1,Coast Guards Karl King/arr. Swearingen,Coast Guards Karl King,,Swearingen,,LOW
2024-2025,13,Jensen Beach High School Symphonic Band,Thomas C. Dougherty,2,"Amaranthus Yagisawa, Satoshi","Amaranthus Yagisawa, Satoshi",,,3,LOW
2024-2025,13,Okeechobee High School Wind Ensemble,Clint LaFlam,1,Foiled Again! Jack Wilds,Foiled Again! Jack Wilds,,,,LOW
2024-2025,13,Northport K-8 School Symphonic Band MD,Marissa Kletter,1,Intuition Larry Clark,Intuition Larry Clark,,,,LOW
2024-2025,13,Samuel S. Gaines Academy Of Emerging Technologies Wind Ensemble MD,Justin Read,1,Cadet Parade Burns,Cadet Parade Burns,,,,LOW
2024-2025,13,Gifford Middle School Advanced Band MC,Michelle Hastings,3,Prairie Campfire Songs Various/Lebon,Prairie Campfire Songs Various,,Lebon,1,LOW
2024-2025,13,Southern Oaks Middle School Concert Band MC,Shakiya Drayton,1,Matric March Ed Huckeby,Matric March,,Huckeby,,LOW
2024-2025,13,Saint Joseph School Symphonic Band MC,Sean Morla,1,Blackthorn March Randall Standridge,Blackthorn March Randall Standridge,,,,LOW
2024-2025,13,Osceola Middle School Concert Band MD,Chris Bowen,1,Primetime Parade Tyler Arcari,Primetime Parade Tyler Arcari,,,,LOW
2024-2025,13,Osceola Middle School Symphonic Band MC,Chris Bowen,1,Epaulettes of Gold Matthew R. Putnam,Epaulettes of Gold Matthew R. Putnam,,,,LOW
2024-2025,13,Sebastian River Middle School Wind Ensemble MC,Andrew Canella,1,High Desert March Steve Hodges,High Desert March Steve Hodges,,,,LOW
2024-2025,14,Wellington Community High School Symphonic Band,Nickolaus Hofmann,1,Royal Scotch Highlanders King/Milford,Royal Scotch Highlanders King,,Milford,,LOW
2024-2025,14,Jupiter Community High School Wind Symphony,Ryan Ross,1,Powhatan's Daughter Sousa,Powhatan's Daughter Sousa,,,,LOW
2024-2025,14,Jupiter Community High School Wind Symphony,Ryan Ross,2,"Desert Sage (Any 3 Mvts) Markowski, Michael","Desert Sage (Any 3 Mvts) Markowski, Michael",,,5,LOW
2024-2025,14,Forest Hill High School Symphonic Band,Marissa Lopez,1,El Manto Dorado Jorge Vargas,El Manto Dorado Jorge Vargas,,,,LOW
2024-2025,14,John I. Leonard High School Wind Ensemble,Milton Joselyn,2,"Amaranthus Yagisawa, Satoshi","Amaranthus Yagisawa, Satoshi",,,3,LOW
2024-2025,14,Pine Crest School at Ft. Lauderdale (Middle School) Middle School Concert B MC,"Allan Finn, Peter Francis",1,Winter Concert March Joseph Covill,Winter Concert March Joseph Covill,,,,LOW
2024-2025,14,Atlantic Community High School Concert Band E,Jamie Roth,1,Blackhorn March Randall Standridge,Blackhorn March Randall Standridge,,,,LOW
2024-2025,14,Pine Crest School at Ft. Lauderdale (High School) High School Symphonic B,"Allan Finn, Peter Francis",1,Signal March Joseph Clauder/Arr. Mark Grauer,Signal March Joseph Clauder,,Mark Grauer,,LOW
2024-2025,14,Pine Crest School at Ft. Lauderdale (High School) High School Symphonic B,"Allan Finn, Peter Francis",3,"Sea Shanty Saga Acari, Tyler","Sea Shanty Saga Acari, Tyler",,,3,LOW
2024-2025,14,Saint Andrew's School Symphonic Band,Emily Nichols,1,La Fiera Asturiana Michele Fernandez,La Fiera Asturiana Michele Fernandez,,,,LOW
2024-2025,14,The Pine School Pine School Middle School Band MD,Dorothy Castle,1,Pine School March 2 Steve Knob,Pine School March 2 Steve Knob,,,,LOW
2024-2025,14,Watson B. Duncan Middle School Concert Band MD,Marie VanDean,1,Blackthorn March Randall Standridge,Blackthorn March Randall Standridge,,,,LOW
2024-2025,14,Wellington Landings Middle School Concert Band MD,Christina Nichols,1,Geyser Point March Ferguson,Geyser Point March Ferguson,,,,LOW
2024-2025,14,Jupiter Middle School Symphonic Band MD,Manuel A. Camacho II,1,Bells & Whistles John Edmondson,Bells & Whistles John Edmondson,,,,LOW
2024-2025,14,Watson B. Duncan Middle School Symphonic Band MB,Marie VanDean,2,"Dublin Town Milford, Gene","Dublin Town Milford, Gene",,,2,LOW
2024-2025,14,Palm Springs Middle School (Palm Beach) Concert Band MD,Francis Bermudez,2,"French Chanson Certon, Pierre","French Chanson Certon, Pierre",,,1,LOW
2024-2025,14,Eagles Landing Middle School Symphonic Band MB,Megan Wright,1,Luz y Sombra Jorge Vargas,Luz y Sombra Jorge Vargas,,,,LOW
2024-2025,14,Christa McAuliffe Middle School Symphonic Band MB,Mr. Mike Norman and Mr. Harlen Golbe,1,Oscar Mike March,Oscar Mike March,,,,LOW
2024-2025,15,J. P. Taravella High School Concert Band,Jonathan Cooper,1,High Desert March Steve Hodges,High Desert March Steve Hodges,,,,LOW
2024-2025,15,Northeast High School (Broward) Symphonic Band,Eric Nadekow,1,Improvement Bennett,Improvement Bennett,,,,LOW
2024-2025,15,Hollywood Hills High School Symphonic Band,Angela Maxion,1,El Manto Dorado Jorge Vargas,El Manto Dorado Jorge Vargas,,,,LOW
2024-2025,15,"American Heritage Schools, Broward Campus (HS) Wind Ensemble",Kimberly Imerbsin,1,The Circus Bee Fillmore,The Circus Bee Fillmore,,,,LOW
2024-2025,15,Monarch High School Wind Ensemble,Caleb Miller,1,La Fiera Asturiana (Spanish March) Michele Fernandez,La Fiera Asturiana (Spanish March) Michele Fernandez,,,,LOW
2024-2025,15,St. Thomas Aquinas High School Raider Wind Ensemble,Richard Bradford,2,"As Days Go By Swearingen, James","As Days Go By Swearingen, James",,,2,LOW
2024-2025,15,Pompano Beach High School Advanced Band,Gregory Banaska,1,The Rank and File Matthew Putnam,The Rank and File Matthew Putnam,,,,LOW
2024-2025,15,Deerfield Beach High School Symphonic Band,Kelvin DeVaughn Gunter,1,True Blue Karl King/James Swearingen,True Blue Karl King,,James Swearingen,,LOW
2024-2025,15,Deerfield Beach Middle School Symphonic Band MB,Mr. Brandy Collot,2,"In This Beautiful Place Owens, William","In This Beautiful Place Owens, William",,,2,LOW
2024-2025,15,Forest Glen Middle School Symphonic Band MB,Jennifer Perez,1,Andaluica Victor Lopez,Andaluica Victor Lopez,,,,LOW
2024-2025,15,McArthur High School Symphonic Band,Charles E. Moorer Jr.,1,The Flying Tiger David Shaffer,The Flying Tiger David Shaffer,,,,LOW
2024-2025,15,Nova High School Wind Ensemble,Dean Verret,1,Dorchester Eric Osterling,Dorchester Eric Osterling,,,,LOW
2024-2025,15,Pembroke Pines Charter High School Symphonic Band,Isabelle Rodriguez,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,15,Charles W. Flanagan High School Wind Orchestra,Sean Rees,1,La Fiera Asturiana Michele Fernández,La Fiera Asturiana Michele Fernández,,,,LOW
2024-2025,15,Somerset Academy Charter School Concert Band,Tatiana Rodriguez- Band Director Christopher Artau - Assistant Director,1,The Flying Cadets Karl King,The Flying Cadets Karl King,,,,LOW
2024-2025,15,Cypress Bay High School Symphonic Band,Brett M. Dawson,2,"Sea Shanty Saga Acari, Tyler","Sea Shanty Saga Acari, Tyler",,,3,LOW
2024-2025,15,Cypress Bay High School Symphonic Band,Brett M. Dawson,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,15,West Broward High School Wind Ensemble,Joshua Bishop,1,Bravurra Charles Duble,Bravurra Charles Duble,,,,LOW
2024-2025,15,Cypress Bay High School Wind Ensemble,Brett M. Dawson,1,The Wild One! Brian Balmages,The Wild One! Brian Balmages,,,,LOW
2024-2025,15,Pioneer Middle School 6th Grade Concert Band MD,Richard Uhler,1,Majestic March Lavender,Majestic March Lavender,,,,LOW
2024-2025,15,Tequesta Trace Middle School Concert Band MD,Heston Curry,1,Cadet's Cavalcade Joseph Compello,Cadet's Cavalcade Joseph Compello,,,,LOW
2024-2025,15,Driftwood Middle School Advanced Band MD,Paul D Morton and Sarah Meza,1,Crown Point Bruce Pearson,Crown Point Bruce Pearson,,,,LOW
2024-2025,15,Pioneer Middle School Symphonic Band MD,Richard Uhler,1,Ready the Castle Hall,Ready the Castle Hall,,,,LOW
2024-2025,15,Pines Collegiate Academy 6-12 Concert Band MD,Nathan Lettera,1,Sunrise March Jason Taurins,Sunrise March Jason Taurins,,,,LOW
2024-2025,15,Walter C. Young Middle School Symphonic Band MC,Alejandro Tanquero,1,Sunrise March Jason Taurins,Sunrise March Jason Taurins,,,,LOW
2024-2025,16,Miami Central Senior High School Miami Central Sr. High Concert Band,KERMIT VIRGIL,1,"To the Stadium March Sam Rydberg arr, Mark Fonder","To the Stadium March Sam Rydberg arr, Mark Fonder",,,,LOW
2024-2025,16,South Dade Senior High School Wind Ensemble,JASON HOLLAND,1,Great Escape Bernstein/Smith,Great Escape Bernstein,,Smith,,LOW
2024-2025,16,South Miami Senior High School Cobra Wind Ensemble,Jennifer Jimenez,1,La Fiera Asturiana Michele Fernández,La Fiera Asturiana Michele Fernández,,,,LOW
2024-2025,16,Hialeah Gardens High School Wind Orchestra,Joshua E. Guzman,1,Belle of Chicago John Philip Sousa,Belle of Chicago John Philip Sousa,,,,LOW
2024-2025,16,Downtown Doral Charter Upper School DDCUS Wind Ensemble,Patrick Araujo,1,El Manto Dorado Jorge Vargas,El Manto Dorado Jorge Vargas,,,,LOW
2024-2025,16,Hialeah-Miami Lakes Senior High School Concert Band,Cristian Escobar,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,16,Miami Coral Park Senior High School Wind Ensemble,Aramis Gonzalez,1,The National Fencibles John Phiip Sousa,The National Fencibles John Phiip Sousa,,,,LOW
2024-2025,16,Miami Northwestern Senior High School Symphony of Winds,M. Joshua Watson,1,The Liberty Ball March John Phillip Sousa,The Liberty Ball March John Phillip Sousa,,,,LOW
2024-2025,16,Ronald Reagan Doral High School Concert Band E,Caterina Papadopulos,1,Luz y Sombra Jorge L. Vargas,Luz y Sombra Jorge L. Vargas,,,,LOW
2024-2025,16,Miami Senior High School Symphonic Band,Santiago Hernandez,1,El Manto Dorado Vargas,El Manto Dorado Vargas,,,,LOW
2024-2025,16,Miami Norland Senior High School Viking Symphony,Randall H. Reid,1,Darkland Randall Standridge,Darkland Randall Standridge,,,,LOW
2024-2025,16,South Miami Middle School Symphonic Band MC,Mr. Francisco R. Williams,1,Thunder and Fury March David Shaffer,Thunder and Fury March David Shaffer,,,,LOW
2024-2025,16,Ruben Dario Middle School Symphonic Band MD,Carlos Pastran,1,Lawson's Fork March John McAllister,Lawson's Fork March John McAllister,,,,LOW
2024-2025,17,Sandalwood High School Freshman Band,Samantha Maltagliati,2,"Scarborough Fantasy Huss, Christina & R. Alan Carter","Scarborough Fantasy Huss, Christina & R. Alan Carter",,,2,LOW
2024-2025,17,First Coast Christian School Symphonic Band,Jeff Adams,2,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,17,First Coast Christian School Symphonic Band,Jeff Adams,3,"In This Beautiful Place Owens, William","In This Beautiful Place Owens, William",,,2,LOW
2024-2025,17,Andrew Jackson High School Concert Band E,Darryl V Moore II,1,The Lions March Robert Buckley,The Lions March Robert Buckley,,,,LOW
2024-2025,17,Highlands Middle School Concert Band MD,Moses T. Evans,1,Mickey Mouse March Michael Sweeney,Mickey Mouse March Michael Sweeney,,,,LOW
2024-2025,17,Baldwin Middle-Senior High School Wind Ensemble E,Scott Shores,2,"Scarborough Fantasy Huss, Christina & R. Alan Carter","Scarborough Fantasy Huss, Christina & R. Alan Carter",,,2,LOW
2024-2025,18,Lehigh Acres Middle School Symphonic Band MD,Colin Edge,1,With Pride and Dignity Owens/D'alicandro,With Pride and Dignity Owens,,D'alicandro,,LOW
2024-2025,18,Veterans Park Academy for the Arts Concert Band MD,Tom Frauenshuh,1,Blackthorn March Standridge,Blackthorn March Standridge,,,,LOW
2024-2025,18,Desoto High School Symphonic Band E,Fernando Frank,1,Pine Island March Steve Hodges,Pine Island March Steve Hodges,,,,LOW
2024-2025,18,Desoto High School Symphonic Band E,Fernando Frank,2,"As Days Go By Swearingen, James","As Days Go By Swearingen, James",,,2,LOW
2024-2025,18,"Cypress Lake Center for the Arts High School Cypress Lake High School, Cen",Randy J Webb,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,18,East Lee High School Wind Ensemble,Osmany Escoto,1,Blackthorn March Randall Standridge,Blackthorn March Randall Standridge,,,,LOW
2024-2025,18,Estero High School Wind Ensemble E,Scott Burrows,1,Streets of Madrid John Moss,Streets of Madrid John Moss,,,,LOW
2024-2025,18,North Fort Myers High School Wind ensemble,Michael Flores-Perez,1,The Fairest of the fair John Phillip Sousa,The Fairest of the fair John Phillip Sousa,,,,LOW
2024-2025,18,Dunbar High School Concert Band E,"Le'Roy Irving, Jr; Carroy Bethea",1,Disney's Magical March Eric Osterling,Disney's Magical March Eric Osterling,,,,LOW
2024-2025,18,LaBelle High School Symphonic Band,Alex Burden,1,La Matriarca Matthew R. Putnam,La Matriarca Matthew R. Putnam,,,,LOW
2024-2025,19,Wildwood Middle High School Concert Band MD,Ashley Bunting,1,"On for All, All for One Carol Brittin Chambers","On for All, All for One Carol Brittin Chambers",,,,LOW
2024-2025,19,Vanguard High School Wind Symphony,Jordan Ramsey,1,Orange Bowl Henry Fillmore,Orange Bowl Henry Fillmore,,,,LOW
2024-2025,19,Eustis High School Golden Panther Concert Band,Matt Flenner,3,"Appalachian Journey Karrick, Brant","Appalachian Journey Karrick, Brant",,,3,LOW
2024-2025,19,West Port High School Symphonic Band,Scotty Vance,1,The Wild One Brian Balmages,The Wild One Brian Balmages,,,,LOW
2024-2025,19,Eustis Middle School Symphonic Band MC,Matthew Balderson,1,Spearhead March Stuart Glazer,Spearhead March Stuart Glazer,,,,LOW
2024-2025,19,South Lake High School Wind Symphony,Ryan Wright,1,Big Sky March Carter,Big Sky March Carter,,,,LOW
2024-2025,19,East Ridge High School Wind Ensemble,Jessica Shaw,1,American Big Top Brian Balmages,American Big Top Brian Balmages,,,,LOW
2024-2025,20,Key West High School Symphonic Band,Gary Hernandez,3,"Dublin Town Milford, Gene","Dublin Town Milford, Gene",,,2,LOW
2024-2025,21,Ponte Vedra High Schoool Wind Symphony,Daniel Lezcano,1,Memories of Friendship Satoshi Yagisawa,Memories of Friendship Satoshi Yagisawa,,,,LOW
2024-2025,21,Clay High School Concert Band,Arthur Allison,3,"Sea Shanty Saga Acari, Tyler","Sea Shanty Saga Acari, Tyler",,,3,LOW
2024-2025,21,St. Augustine High School Wind Ensemble,Wes Peters and Adam Collester- Intern,1,El Manto Dorado Jorge Vargas,El Manto Dorado Jorge Vargas,,,,LOW
2024-2025,21,Creekside High School Concert Band,"Rick Fowler, Tina Larsen",2,"Until We Dream Samuel, David","Until We Dream Samuel, David",,,3,LOW
2024-2025,21,Creekside High School Wind Ensemble,"Rick Fowler, Tina Larsen",1,Auld Lang Syne Karl L King,Auld Lang Syne Karl L King,,,,LOW
2024-2025,21,Indian Trails Middle School (Flagler) Symphonic Band MB,"David Morden, Susan Morden, Ryan Schulz",2,"Scarborough Fantasy Huss, Christina & R. Alan Carter","Scarborough Fantasy Huss, Christina & R. Alan Carter",,,2,LOW
2024-2025,21,Valley Ridge Academy Symphonic Band MC,Kevin Fulford,1,New Delta Force Amy Webb,New Delta Force Amy Webb,,,,LOW
2024-2025,21,Valley Ridge Academy Symphonic Band MC,Kevin Fulford,2,"In This Beautiful Place Owens, William","In This Beautiful Place Owens, William",,,2,LOW
2024-2025,21,Patriot Oaks Academy Symphonic Band MC,Lance Rauh,1,El Manto Dorado Jorge Vargas,El Manto Dorado Jorge Vargas,,,,LOW
2024-2025,22,Oakridge Middle School Symphonic Band MD,John T Rosbottom,1,Blackthorn March Randall Standridge,Blackthorn March Randall Standridge,,,,LOW
2024-2025,22,Golden Gate Middle School Concert Band MD,Ms. Sarah Kocses,1,"All for One, One for All Carol Brittin Chambers","All for One, One for All Carol Brittin Chambers",,,,LOW
2024-2025,22,Corkscrew Middle School Wind Ensemble MC,Ashley Crosby,1,High Desert March Steve Hodges,High Desert March Steve Hodges,,,,LOW
2024-2025,23,Lockhart Middle School Concert Band MD,Ms. Taylor Koffinas,1,BB's First March Nicholas Forte,BB's First March Nicholas Forte,,,,LOW
2024-2025,23,Canoe Creek K-8 Wind Ensemble MC,Christy Jeck,1,"All for One, One for All Carol Britten Chambers","All for One, One for All Carol Britten Chambers",,,,LOW
2024-2025,23,Canoe Creek K-8 Wind Ensemble MC,Christy Jeck,2,"Until We Dream Samuel, David","Until We Dream Samuel, David",,,3,LOW
2024-2025,23,Harmony Middle School Concert Band MB,Justin Goelz,1,"All for One, One for All Carol Brittin Chambers","All for One, One for All Carol Brittin Chambers",,,,LOW
2024-2025,23,Horizon Middle School Wind Ensemble MC,Devin Bieber,1,First Expedition March Chris Ferguson,First Expedition March Chris Ferguson,,,,LOW
2024-2025,23,Apopka Senior High School Symphonic Band,Jeremy Langford,1,Eclipse Galop Karl King/Arr. Andrew Glover,Eclipse Galop Karl King,,Andrew Glover,,LOW
2024-2025,23,Apopka Senior High School Wind Symphony,Jeremy Langford,1,Tristsch-Tratsch Polka Arr. Alfred Reed,Tristsch-Tratsch Polka,,Alfred Reed,,LOW
2025-2026,1,Escambia High School Concert Band,"Skyler Mcleod, Armand Navarro",1,Courage Bennett/Arr. Clark,Courage Bennett,,Clark,,LOW
2025-2026,1,Escambia High School Symphonic Band,Armand Navarro,2,"Amaranthus Yagisawa, Satoshi","Amaranthus Yagisawa, Satoshi",,,3,LOW
2025-2026,1,Navarre High School Symphonic,Dean Barrow,1,The Peacemaker March Karl L. King/James Swearingen,The Peacemaker March Karl L. King,,James Swearingen,,LOW
2025-2026,1,Destin High School Symphonic Band,Cameron Gordon,1,Loyalty Larry Clark,Loyalty Larry Clark,,,,LOW
2025-2026,1,Choctawhatchee Senior High School Wind Ensemble,Anthony Denaro,1,La Marche de Paris Francis Popy,La Marche de Paris Francis Popy,,,,LOW
2025-2026,1,Central High School Jaguar Concert Band,Christal Bennett,1,Darkland's March Randall D. Standridge,Darkland's March Randall D. Standridge,,,,LOW
2025-2026,1,Crestview Senior High School Symphonic Winds,Sean Dyke,2,"O Vos Omnes Burchard, Richard arr. Clifton Taylor","O Vos Omnes Burchard, Richard",,Clifton Taylor,4,LOW
2025-2026,1,J. M. Tate Senior High School Wind Ensemble,"Ronald Barnard Gray, Jr.",1,World Is Waiting for the Sunrise Eugene Lockhart/Seitz/Alford/Gore,World Is Waiting for the Sunrise Eugene Lockhart/Seitz/Alford,,Gore,,LOW
2025-2026,1,Niceville Senior High School Wind Symphony,Matt Tenore,3,In A Nutshell (Mvt. 4 plus two other movements) Grainger/Patterson,In A Nutshell (Mvt. 4 plus two other movements) Grainger,,Patterson,6,LOW
