"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
American Salute,"Gould, Morton","Lang, Philip",5,Belwin/Warner Bros.,7,
American Salute,"Gould, Morton","Wagner, Douglas",4,Belwin,1,
American Sea Rhapsody,"Cacavas, John",,3,Belwin,1,
American Sketches ,"Kopetz, Barry",,6,Wingert-Jones,1,
American Song  (all 3 mvts.),"Kreines, Joseph",,5,Alfred,1,
"American Song Settings No. 1, ""Billy Boy""","Kreines, Joseph",,1,Alfred,1,
"American Song Settings No. 2, ""Skip to My Lou""","Kreines, Joseph",,2,Alfred,1,
"American Song Settings No. 3, ""Barbara Allen""","Kreines, Joseph",,2,Alfred,1,
"American Song, An","Fletcher, Percy",,6,Boosey & Hawkes,1,
American Songs,"Osmon, Leroy",,2,Southern,2,
American Suite (3 mvts.),"Dvorak, Antonin","de Meij, Johann",5,Molenaar,1,
American Symphony,"Schoenberg, Adam","Patterson, Merlin trans. ",5,Schoenberg,1,
"American Tapestry, An","Kallman, Daniel",,4,Boosey & Hawkes,2,
American Visions,"Weller, Travis",,4,FJH,1,
American Voices,White ,,4,TRN,1,
Americana Folk Suite,"Kopetz, Barry",,4,Jack Cook,3,
Americans Lost,"Tucker, Christopher", ,3,Southern,3,
Ammerland,"de Haan, Jacob",,3,De Haske,4,
Among the Clouds,"Balmages, Brian",,3,FJH,3,
Amor de mi alma			,"Stroope, Z. Randall",,4,TRN,1,
An Ge Fhlain (The Wild Goose),"George, Ryan",,6,Self ,1,
Anahita,"Etezady, Roshanne",,6,Self ,2,
Anasazi,"Edmondson, John",,1,Kjos/Queenwood,3,
"Anasazi IV, Prayer and Processional to ""Nilvatukn'yova""","Davis, Albert O.",,4,Ludwig,1,
Anatolia,Creston,,4,Templeton,1,
Ancestral Rumors,"Boss, Andrew",,5,Murphy   ,1,
Ancient Castle,"Curnow, James",,1,Curnow,1,
Ancient Conquest,"Coles, Jay",,2,Barnhouse,1,
Ancient Dance and Toccatina,"Kabalevsky, Dmitri","Schaeffer, Don",2,PRO,1,OOP
Ancient Dances,"Pearson, Bruce",,1,Kjos,1,
Ancient Dialogue,"Burns, Patrick",,2,Daehn,1,
