"TITLE  5,407",COMPOSER,ARR./ED./TRANS./ADAPT.,PMEA GRADE LEVEL,PUBLISHER ,# SOURCE LISTS,OOP/POD/RENTAL
Smililng After the Rain,"Nishimura, Yukiko",,4,Excelcia,1,
Smoke and Mirros,"Muhl, Erica",,6,Self,1,
Smoky Mountain Portrait,"Balent, Andrew",,2,Ludwig,1,
"Snake Alley: ""An American in Taipei""","Dzubay, David",,6,,1,
Snake Charmer,"Standridge, Randall",,2,Grand Mesa,3,
Snakebite,"Conaway, Matt",,2,Barnhouse,1,
Snakes!,"Duffy, Thomas",,2,Ludwig,3,
Snarl,"Mackey, John",,5,Osti ,1,
Snow through a Window,"Lesser, Andrew",,2,Kjos,1,
Soar Like an Eagle,"Cichy, Roger",,3,Daehn,1,
Soaring,"Wada, Naoya",,3,Grand Mesa,1,
"Soaring Falcon, The","Prescott, John",,4,Wingert-Jones,1,
"Soaring Hawk, The","Mahr, Timothy",,5,Hal Leonard/Kjos,3,
Soaring!,"Morales, Erik",,2,FJH,2,
Softly Speaks the Night,"Chambers, Carol Brittin",,2,Carl Fischer,1,
"Soirees Musicales, Op. 9","Britten, Benjamin",Brown,5,Boosey & Hawkes,2,OOP
Sojourn of Dreams,"Walczyk, Kevin",,5,Keveli,1,
Sol y Sombra,"Grantham, Donald",,3,Piquant,1,
Solas Ané,"Hazo, Samuel R.",,4,Hal Leonard,2,
Soldier's March,"Schumann, Robert","Finlayson, Walter",1,Alfred/Belwin,1,OOP
Soldier's Procession and Sword Dance,"Margolis, Bob",,2,Manhattan Beach,5,
"Solemn Fugue, A","Williams, Clifton",,4,Belwin/Warner Bros.,2,OOP
"Solemn Music, A","Thomson, Virgil",,5,E.C. Schirmer,3,Rental
"Solemn Place, A","Oquin, Wayne",,3,Self,1,
Solemn Prelude,"Kay, Ulysses",,4,Hal Leonard,1,OOP
"Solemn Prelude, A","Barnes, James", ,3,Southern,2,
Solemn Procession,"Grieg, Edvard","Whitney, Maurice",3,Bourne,2,
Soleriana ,"Surinach, C.",,5,Associated,2,
Soliloquy,"Erickson, Frank",,2,Bourne,1,
Soliloquy for Band,"Fagan, G.",,2,MSB,1,
Soliloquy for Band,"Heisinger, Brent",,3,Shawnee,1,
"Solitary Dancer, The","Benson, Warren", ,5,Carl Fischer/MCA,6,
Somersault,"Smith, Hale",,5,Hal Leonard/Marks,3,OOP
"Somerset Rhapsody, A","Holst, Gustav","Grundman, Clare",5,Boosey & Hawkes,4,
Somerset Sketches,"Stuart, Hugh M.",,3,Boston,1,
Sonata Allegro,"Williams, Clifton",,4,,1,
Sonata for Band,"Whear, Paul",,4,Ludwig,1,
Sonata for Winds,"Carter, Charles",,4,Barnhouse,3,
Sonata Pian'e Forte,"Gabrieli, Giovanni","McGinty, Anne",3,Kjos/Queenwood,1,
Sonata Pian'e Forte,"Gabrieli, Giovanni","Schaefer, William",3,Presser/Elkan-Vogel,3,
Sonatina and Fugue,Reiche ,"Henderson, Kenneth",2,Kjos,1,OOP
Sonatina for Band,"Erickson, Frank",,3,Alfred/Belwin/Warner Bros./Bourne,4,
Song,"Bolcom, William",Romero,5,Hal Leonard ,5,
Song and Dance,"Kabalevsky, Dmitri","O'Reilly, John",2,Alfred,2,
"Song for Friends, A","Daehn, Larry",,2,Daehn,4,
Song for Hope,"Sweeney, Michael", ,3,Hal Leonard ,1,
Song for Lyndsay,"Boysen, Jr., Andrew",,3,LudwigMasters,3,
Song for Silent Voices,"Oquin, Wayne",,3,Watersong ,1,
Song for the Winter Moon,"Cummings, Walter", ,2,Grand Mesa ,5,
Song for Winds,"Edmondson, John",,2,Kjos/Queenwood/Hansen,3,
"Song of Hope, A","Stamp, Jack",,2,Kjos,3,
"Song of Hope, A","Swearingen, James",,2,Barnhouse,3,
Song of India,"Rimsky-Korsakov, Nicolai","Balent, Andrew",2,Carl Fischer,1,
Song of Jupiter,"Handel, G.F.",Anderson,3,Belwin,1,
Song of Lir for Symphonic Wind Band,"Carroll, Fergal",,3,Maecenas,2,
"Song of Loudest Praise, A","Boysen, Jr., Andrew",,3,Kjos,1,
"Song of Miriam, The","Schubert, Franz","Gordon, Philip",2,Alfred,1,OOP
Song of the Blacksmith,"Holst, Gustav","Loest, Timothy",2,FJH,1,
Song of the Cossacks,"Hull, Grant",,2,Wynn,1,
Song of the Hebrides,"Daehn, Larry",,3,Daehn,2,
Song of the Mountain Horn,"Bartok, Bela","La Plante, Pierre",2,Daehn,3,
Song of the Phoenix,"Wilt, Kevin",,6,Whistling Vine,1,
Song of the Telegraph,"Dicke, Ian",,6,Self ,1,
Song with Variations,"Broege, Timothy",,3,Daehn,3,
Songs,"Goto, Yo",,4,,1,
Songs and Dances,"Purcell, Henry","Freed, Arnold",3,Boosey & Hawkes,1,
Songs of Abelard,"Dello Joio, Norman",,6,Hal Leonard,1,OOP
Songs of Heritage,Williams, ,3,Rubank,2,
Songs of Israel,"McGinty, Anne",,3,Hal Leonard,1,
Songs of Old Kentucky,"Karrick, Brant", ,3,Alfred,5,
Songs of Paradise,"Walczyk, Kevin",,3,Keveli,1,
Songs of Praise,"Nelhybel, Vaclav",,4,J. Christopher,1,
Songs of Sailors and Sea,"Smith, Robert W.",,6,Belwin,1,
Songs of Scotland,"Williams, Mark",,2,Alfred,1,
Songs of the British Isles,Davis,,4,Great Works ,1,
Songs of the Fjords,"Ployhar, James",,2,Warner Bros.,1,OOP
Songs of the Highlands (Concert Time),"Kinyon, John",,1,Alfred  ,1,OOP
Songs of the Sea,"Kinyon, John",,1,Alfred,2,
Songs of the West,"Holst, Gustav","Curnow, James",5,Shawnee/G&M Brand,2,
Songs of the Whaleman,"Del Borgo, Elliot", ,2,Hal Leonard/Jenson ,3,
Songs of Wales,"Davis, Albert O.",,3,LudwigMasters,5,
Songs of Winter,"Ployhar, James",,1,Warner Bros.,1,OOP
Songs Without Words,"Welcher, Dan",,5,,2,
Sonics and Metrics,"Luke, Ray",,3,Ludwig,1,
Sonoran Desert Holiday,"Nelson, Ron",,5,Ludwig,2,
Sonoro and Brioso,Browne,,4,SB,1,OOP
"Sons of Liberty, Songs of the American Revolution","Neeck, Larry", ,2,Barnhouse,1,
"Sorcerer's Apprentice, The","Dukas, Paul","Cailliet, Lucien",6,Carl Fischer,2,OOP
"Sorcerer's Apprentice, The","Dukas, Paul","Hindsley, Mark",6,Hindsley Transcriptions,4,
Soul to Soul,"Mason, Q.",,5,Murphy,1,
Sound and Smoke,"Cuong, Viet",,5,Self,1,
Sound Asleep,"Boss, Andrew",,3,Murphy   ,1,
Sound Prisms,"Balmages, Brian", ,4,FJH,2,
Sound the Call,"McCarthy, Daniel",,2,,1,
Soundings,"McTee, Cindy",,5,MMB,3,
Sounds of the Sea,"Magill, Eugene",,2,CPI,1,OOP
"Sounds, Shapes and Symbols","Bassett, Leslie",,6,C.F. Peters,3,
Soundscape	,"Calhoun, Bill",,1,Carl Fischer,1,
Sourwood Suite,"Spears, Gay Holmes",,3,Ludwig/RBC,2,
Southern Chorale and March,"Houllif, Murray",,1,C. Alan,2,
"Southern Dawn, The","Owens, William",,3,,1,
Southern Harmony,"Grantham, Donald", ,6,Piquant,6,
Southern Hymn,"Hazo, Samuel R.",,3,Hal Leonard/MusicWorks,1,
"Southern Hymn Setting, A","Edmondson, John ",,2,Queenwood,1,
Southwest Saga,"Sheldon, Robert",,4,Barnhouse,1,
Southwestern Sketches,"Adler, Samuel",,5,Oxford University,2,
Southwinds,"Court, Douglas",,3,Curnow,1,
Sovereign Variants,"Curnow, James",,3,Jenson,1,
Space Echoes,"Visconti, John",,2,Alfred,2,
"Spacious Firmament on High, The","Haydn, F. Joseph","Sharp, Chris",1,FJH,2,CHECK PEPPER
Spangled Heavens,"Grantham, Donald", ,5,Piquant,3,
Spania,"Shaffer, David",,2,Barnhouse,1,
Spanish Dance,"Curnow, James",,5,G. Schirmer,1,
Spanish Masters Suite,"Gordon, Philip",,3,Hal Leonard ,2,OOP
Spark,"Pitts, William",,4,Self,1,
Spark of Creation,Newton,,4,RWS Music ,1,
Sparking Angels,"Suter, Anthony",,3,Daehn,2,
Sparkle,Mahoney,,5,Boosey & Hawkes,1,
Sparks,"Balmages, Brian", ,3,FJH,2,
Spartacus,"Van der Roost, Jan",,6,De Haske,1,
Speak to Me,"Wilson, Dana",,3,Self ,1,
Spearfish Canyon,"Barnes, James",,2,Alfred,1,
Spectral Landscapes,"O'Loughlin, Sean",,3,Carl Fischer,1,
Spectrum,"McGinty, Anne",,4,Kjos,1,
Spectrum,"Story, Michael",,1,Hal Leonard,1,
"Speed of Heat, The","Giroux, Julie", ,6,Musica Propria,2,
"Spellbook, The","Dooley, Paul",,4,Self,1,
"Spheres, The","Gjeilo, Ola",,3,,1,
"Spiel fur Blasorchester (Wind Orchestra), Op. 39  ","Toch, Ernst",,6,European American/Spiel,5,
Spin Cycle,"Lindroth, Scott", ,6,Hal Leonard/Boosey & Hawkes,3,
Spirals of Light,"O'Loughlin, Sean",,3,Carl Fischer,2,
Spirit Dance,"Farmer, George",,2,Daehn,1,
"Spirit Endures, The","Hosay, James",,2,Curnow,1,
Spirit Lake Overture,"Sheldon, Robert",,2,Barnhouse,1,
Spirit of '76,"Grundman, Clare",,4,Boosey & Hawkes,1,
"Spirit of an Eagle, The","Clark, Larry", ,2,Carl Fischer,2,
"Spirit of Cashel, The","Wilds, Jack",,4,FJH,1,
Spirit of the Highlands,"Kirby, Rick",,3,Daehn,1,
Spirit of the Pioneers,"Curnow, James",,4,Curnow,2,
Spirit of the Winds,"Smith, Robert W.",,3,Barnhouse,1,
Spirit of the Wolf,"Oare, Michael",,1,Hal Leonard,1,
"Spirit Rejoices, The","Bach, J.S.","Gordon, Philip",2,Carl Fischer,1,OOP
"Spirit Soars, The","Curnow, James",,4,Curnow,2,
"Spiritual (from ""Symphony No. 5 1/2"")",Gillis,"Bainum, Glenn Cliffe",3,Boosey & Hawkes,2,
Spiritual Planet,"Hokoyama, Wataru",,5,Self ,2,
Spirituals,Anon. or Trad. ,"Dawson, Jay",3,Arranger's Pub.,1,
Spit-Fire,"Owens, William",,4,FJH,1,
Spoon River,"Grainger, Percy Aldridge","Bainum, Glenn Cliffe",4,G. Schirmer,4,OOP
Spoon River,"Grainger, Percy Aldridge","Bainum/Carson, Naylor  ed. ",4,Southern,3,
Spoon River,"Grainger, Percy Aldridge","Sheldon, Robert",4,Barnhouse,2,
Spoon River,"Grainger, Percy Aldridge","Story, Michael",2,Alfred,1,
Spoon River Saga,"Curnow, James",,3,Hal Leonard,1,
"Spring (from ""The Seasons"")","Vivaldi, Antonio","Cacavas, John",3,Presser,3,Rental
Spring Festival,"Yi, Chen",,4,Hal Leonard,1,
Spring Fever,"Shaffer, David",,1,Barnhouse,1,
Spring Overture,Amis,,5,Boosey & Hawkes,1,
Spring Song,"Nowak, Jerry", ,1,Boosey & Hawkes,2,
"Spring, Overture for Wind Orchestra	","de Meij, Johan",,6,Amstel,1,
"Springtime Celebration, A","Reed, Alfred",,4,Barnhouse,2,
Spumante,"Welcher, Dan", ,5,Presser/Welcher,2,
St. Anne's Fugue,"Bach, J.S.","Rhoads, William",5,Southern,3,OOP
St. Anthony Divertimento,"Haydn, F. Joseph","Wilcox, James",4,G. Schirmer,4,
St. Florian Choral,"Doss, Thomas",,3,Mitropa,2,
St. Lawrence Chronicles,"Eastmond, David",,3,Barnhouse,1,
St. Lawrence Suite,"Gould, Morton",,5,Hal Leonard ,1,
Stained Glass Windows,"Yurko, Bruce",,5,Self ,1,
Stamp,"Boyson, Jr., Andrew",,5,Kjos,1,
Stampede,"Balmages, Brian",,2,FJH,1,
Stampede,"Bryant, Steven", ,5,Hal Leonard/Self,5,
"Star Above, Shine Brightly","Balmages, Brian",,4,FJH,1,
Star Bright,"Sheldon, Robert",,2,FJH,1,
Star Ship,"Nishimura, Yukiko",,3,Southern,1,
Star Voyage,"Milford, Gene",,1,Ludwig,2,
Star-Rise,"Vultaggio, J. ",,2,Alfred,1,
Starburst,"Leshnoff, Jonathan","Nowlin, Ryan trans. ",6,Presser,1,
Starchaser,"Balent, Andrew",,2,Kjos,1,
Starflight Overture,"Mitchell, Rex",,5,LudwigMasters,1,
Stargazing,Erb,,3,Presser,1,
"Starlit Night, A","Swearingen, James",,1,Barnhouse,1,
Starry Crown,"Grantham, Donald", ,6,Piquant,5,
"Starry Night, The","Billingsley, William",,5,B & B,1,OOP
"Stars Asleep, the Break of Day, The","Margolis, Bob", ,2,Manhattan Beach ,6,
Starship,"O'Reilly, John",,1,Alfred,3,
Stately Dances,"Sheldon, Robert",,1,Alfred,1,
Statement and Fugue,Conley,,2,Kendor,1,OOP
Steampunk Suite,"Svanoe, Erika",,5,Swan Maiden,1,
Steel,"Standridge, Randall", ,3,Grand Mesa ,2,
"Steppes of Russia, The","Del Borgo, Elliot", ,3,Concert Works Unlimited,3,
Steps Ahead,"Gandolfi, Michael",,2,American Composers Forum,1,
Stewball,Kubik,,5,Southern-NY,1,
Still Wie Die Nacht,"Bohm, Charles","Spinney, Charles",3,Warner Bros./Byron Douglas,3,OOP
Stillwater,"Dunton, K.",,4,Murphy   ,2,
STOMP  ,"Corigliano, John","Johnson, trans. ",6,G. Schirmer,1,
Stomp Igor,"Patterson, Robert",,6,Great Lakes/Patterson,2,
Stone Creek Episode,"Huckeby, Ed",,3,Barnhouse ,1,
Stone Mountain Stomp,"Strommen, Carl",,2,Carl Fischer,1,
Stonegate Overture,"O'Reilly, John",,1,Alfred,1,
Stonybrook Overture,"Bernotas, Chris",,1,Alfred,1,
Storm Mountain Jubilee,"Strommen, Carl",,2,Belwin,3,
Stormworks,"Melillo, Stephen",,5,Self,1,
"Story of the Kalandar Prince, The (from ""Scheherazade"")","Rimsky-Korsakov, Nicolai","Patterson, Merlin",4,Merlin Patterson,1,Pub.separately
"Story of the Kalandar Prince, The (from ""Scheherazade"")","Rimsky-Korsakov, Nicolai","Winterbottom, Frank",4,Boosey & Hawkes,2,OOP
Stradella Overture,Flotow,"Lake, Mayhew L. ",5,Carl Fischer,1,OOP
Strange Humors,"Mackey, John", ,5,Osti ,4,
Stratford Fair,"Edmondson, John",,1,Kjos/Queenwood,1,
Stratford Suite,Cable,,5,Chappell,1,
Strathcarron,"Sparke, Philip",,5,Anglo,1,
Strathcona Suite,"Giroux, Julie",,4,Musica Propria,1,
Stratosphere,"Beckham, Dwight", ,1,Grand Mesa ,1,
"Stravinsky Suite, A","Stravinsky, Igor","Erickson, Frank",3,Chappell,1,
Street Corner Overture,Rawsthorne,O'Brien,6,Oxford University,2,OOP
Streets of Laredo,"Weiner, Lawrence",,3,Barnhouse,1,
Strength and Honor,"O'Loughlin, Sean",,1,Excelcia,1,
Studies in Motion,"Tull, Fisher",,5,Boosey & Hawkes,1,
Studies in Textures,"Schuller, Gunther",,5,Associated,1,
Stylus Phantasticus,"Salfelder, Kathryn",,6,Self ,1,
"Suffolk Celebration, A","Kinyon, John",,2,Alfred,1,
Sugar Creek Saga,"Curnow, James",,1,Curnow,1,
Suite,"Villa-Lobos, Heitor","Bilik, Jerry",3,Somerset/HOPE,2,OOP
Suite - Lo Rejoice (any 2 mvts.),"Spaniola, Joseph",,5,Musica Propria,1,
Suite Britannia  ,"Barrett, Roland","Gordon, Philip",2,Hal Leonard/Jenson ,3,OOP
Suite Concertante,"Nelhybel, Vaclav",,4,F. Colombo,1,
Suite des Symphonies No. 1,"Mauret, J.","Schaefer, William",3,F. Colombo,1,
Suite Divertimento,"Gilbert, Jay", ,5,Southern,3,
Suite Dreams,"Bryant, Steven", ,5,Hal Leonard ,1,
Suite for Band,"Gossec, Francois ",Townsend,4,Warner Bros./F.Colombo,2,OOP
Suite for Band,"Hogg, Brian",,3,Shawnee,1,
Suite for Band,"Hook, James","Schaefer, William",3,Wimbledon,2,OOP
Suite for Band,"Hovhaness, Alan",,4,Carl Fischer,1,
Suite for Band,Smith,,3,Alfred/ProArts,1,OOP
Suite for Band,"Washburn, Robert",,4,Oxford University,2,OOP
Suite for the Endangered,"Jennings, Paul",,2,MusicWorks,1,
Suite for Winds and Percussion,"Broege, Timothy",,2,Bourne,1,
Suite Française,"Milhaud, Darius", ,6,Hal Leonard/MCA,7,
"Suite from ""Alcina""","Handel, G.F.","Siennicki, Edmund",3,Etling,2,OOP
"Suite from ""Cantata 212""","Bach, J.S.","Gordon, Philip",2,Jenson,1,OOP
"Suite from ""Hymn of The Highlands""","Sparke, Philip",,4,Anglo,1,
"Suite from ""Julius Caesar""","Handel, G.F.",Barnes,3,Tempo/LOR,2,OOP
"Suite from ""The Magic Flute""","Mozart, W.A.","Hubbell, Fred",3,Ludwig,1,
"Suite from ""The Mikado""",Gilbert & Sullivan,Clark & Irish,5,,1,
"Suite from ""The Nose""","Shostakovich, Dmitri","Schaefer, William",5,Shawnee,1,
"Suite from ""Water Music""","Handel, G.F.",Mills/Custer,4,Hal Leonard ,1,
"Suite from ""Water Music""","Handel, G.F.","Vinson, Johnnie",2,Hal Leonard,2,
Suite from Bohemia,"Nelhybel, Vaclav",,3,Hal Leonard/E.C. Kerby/Canyon,6,
Suite from Holocaust (6 mvts. pub. separately),"Gould, Morton",,5,G. Schirmer,1,
Suite from Mass,"Bernstein, Leonard","Sweeney, Michael",4,Boosey & Hawkes,2,
"Suite from the Ballet, Petroushka","Stravinsky, Igor","Schaefer, William",5,Highland,1,
Suite in Bb,"Jacob, Gordon",,4,Shawnee/Jenson,2,
Suite in F for Band,Breydert,,4,Belwin,1,
Suite in Minor Mode,"Kabalevsky, Dmitri","Seikmann, Frank/Oliver",2,E.C. Schirmer/MCA,2,
Suite in Minor Mode,"Kabalevsky, Dmitri","Siekmann, Frank/Richard",2,Hal Leonard/MCA,3,
Suite Italienne,"Bilik, Jerry",,3,Southern/Peer,2,
Suite No. 2,Browne,,4,Warner Bros.,2,OOP
"Suite of Baroque Dances, A","Handel, G.F.","Kinyon, John",2,Alfred,2,
Suite of Colonial Dances,"Johnson, Timothy",,3,Curnow,1,
Suite of English Folk Dances (any 4 mvts.),"Tomlinson, Ernest",,4,Novello/Studio Music,2,
Suite of Miniature Dances,"Applebaum, Stanley",,4,Kerby,1,
Suite of Old American Dances ,"Bennett, Robert Russell",Higgins,6,Hal Leonard/Chapell,7,
Suite of Old French Songs,"La Plante, Pierre",,4,Daehn ,1,
Suite on Celtic Folk Songs,"Tatebe, Tomohiro",,4,Bravo,3,
Suite on Greek Love Songs,"van Lijnschooten, Henk ",,4,Molenaar,3,
Suite Provençale,"Van der Roost, Jan", ,4,De Haske,4,
Summer,"de Meij, Johan",,5,Amstel,1,
Summer Dance,"Gorb, Adam", ,5,Hafabra,2,
Summer Dances,"Balmages, Brian", ,5,FJH,4,
Summer in Valley City,"Finney, Ross Lee",,6,C.F. Peters,2,Rental
Summer Resounding!,"Balmages, Brian", ,3,FJH,2,
"Summer Waltz, A","Houllif, Murray",,2,C. Alan,2,
"Summer's Knight, A","Terry, Peter",,1,Excelcia,1,
Summerland,"Still, William Grant",,3,,1,
Summit Fanfare,"Owens, William", ,1,FJH,2,
Summit Overture,"Welsch, James",,1,DRW,1,
Sun Dance,"Ticheli, Frank",,4,Manhattan Beach,6,
Sun Dancing,"Shaffer, David",,3,Barnhouse,1,
"Sun Just Touched the Morning, The","Burns, Patrick", ,3,Grand Mesa ,1,
Sun Paints Rainbows on Vast Waves,Bedford,,5,Novello ,1,
Sun Peaks,"Ford, Ralph",,3,Belwin,1,
"Sun Will Rise Again, The","Sparke, Philip",,3,,1,
Sunburst,"Morales, Erik",,3,FJH,1,
Suncatcher,"Curnow, James",,1,Curnow,2,
Sunchaser,"Chambers, Carol Brittin",,2,Carl Fischer,3,
Sundance,"Strommen, Carl", ,3,Carl Fischer,3,
Sunderland Overture,"Ployhar, James",,3,Warner Bros.,1,OOP
Sunny-Side Up,"Markowski, Michael",,4,Self,1,
Sunrise at Angel’s Gate,"Sparke, Philip",,5,Hal Leonard/Anglo/DeHaske,3,
Sunset Lullaby,"Samuel, David",,2,Excelcia,1,
Suo Gan,"Clark, Larry",,2,Carl Fischer,1,
Suo-Gan,"Curnow, James",,4,Curnow,1,
Sure on this Shining Night,"Barber, Samuel","Saucedo, Richard",4,Hal Leonard ,1,
Sursam Cordo,"Elgar, Edward","Houseknecht, Bruce",4,Carl Fischer,1,
"Susato Dance Suite from Danserye, Mvts 1,2,3","Susato, Tielman",Marlatt,2,Eighth Note ,1,
"Susato Prelude, A","Akey, Douglas", ,2,Queenwood,1,
Susato Variations,"de Haan, Jacob",,3,De Haske,1,
Susquehanna Overture,"Edmondson, John ",,2,Queenwood,1,
"Sussex Mummer's Christmas Carol, The","Grainger, Percy Aldridge",Clark,3,Warner Bros.,1,
"Sussex Mummer's Christmas Carol, The","Grainger, Percy Aldridge","Goldman, Richard",4,LudwigMasters,6,
"Sussex Mummer's Christmas Carol, The","Grainger, Percy Aldridge",Simpson,4,Masters,1,
Swan Lake  ,"Tchaikovsky, P.I. ","Lake, Mayhew L. ",5,Ludwig,1,
Swan Lake Ballet Suite,"Tchaikovsky, P.I. ",Rogan,5,Chappell,1,OOP
Swashbuckler,"Giroux, Julie",,5,Musica Propria,1,
Swedish Folk Suite,"Osterling, Eric",,3,LudwigMasters,2,
Swedish Melody,"Slocum, Earl", ,3,TRN,4,
Sweet Chariot,"Simon, Carlos",,4,Bill Holab/Self ,1,RENTAL
Sweet Like That,"Theofanidis, Christopher",,3,American Composers Forum,1,
Sweet Little One,"Dousa, Dominic",,2,Grand Mesa,1,
"Swing Low, Sweet Chariot","Rouse, Steve", ,3,Manhattan Beach ,2,
Swirling Prisms	,"Balmages, Brian",,5,FJH,2,
"Sword and Crown, The","Gregson, Edward",,5,Studio,2,
"Sword of Kings, The","Smith, Robert W.",,1,Barnhouse,1,
Swords Against the Sea,"Hosay, James",,3,Curnow,1,
Symphonette for Band,"Erickson, Frank",,2,Bourne,1,
"Symphonic Dance Music from ""West Side Story""","Bernstein, Leonard","Poster, Ian",5,G. Schirmer,1,
Symphonic Dance No. 1,"Grieg, Edvard","Ragsdale, Chalon",5,Aux Arcs ,2,
"Symphonic Dance No. 2, ""The Maskers""","Williams, Clifton",,5,Alfred/Belwin/Sam Fox,5,
"Symphonic Dance No. 3, ""Fiesta""","Williams, Clifton", ,5,Alfred/Belwin/Sam Fox,7,
Symphonic Dances from “West Side Story”,"Bernstein, Leonard",Ramin/Lavender,6,,1,
"Symphonic Dances, 1. Renaissance Dances)",Fukuda,,5,Bravo,1,
"Symphonic Dances, Op. 45, Mvt. III","Rachmaninoff, Sergei","Lavender, Paul  ",5,,1,
Symphonic Episodes,"Balmages, Brian",,5,FJH,2,
Symphonic Essay,"Barnes, James",,4,Alfred,1,
Symphonic Essay,"Del Borgo, Elliot",,4,Alfred,1,
Symphonic Essay,"Golemo, Michael",,4,LudwigMasters,1,
Symphonic Excursions,"Patterson, Robert",,6,Self,2,
Symphonic Fanfare,"Camphouse, Mark",,5,Alfred,1,
Symphonic Jazz Suite,"Bencriscutto, Frank",,5,Kjos,1,
"Symphonic Jubilee, A","Jenkins, Joseph Wilcox",,5,Hal Leonard ,1,OOP
Symphonic Metamorphosis (any 2 mvts.),"Hindemith, Paul","Wilson, Keith",6,European American ,3,
Symphonic Movement,"Goldstein, William",,4,Sam Fox,1,OOP
Symphonic Movement,"Nelhybel, Vaclav", ,6,Alfred/Belwin/Warner Bros.,7,
Symphonic Overture,"Barnes, James",,6,Southern,1,
Symphonic Overture,"Carter, Charles", ,4,Carl Fischer,6,
Symphonic Prelude,"Giovannini, Caesar",,4,Musicians Pub.,1,
"Symphonic Prelude (based on ""Black is the Color of My True Love's Hair"")","Reed, Alfred",,4,Hal Leonard ,3,
Symphonic Prelude (The Cemetary at Colleville-Sur-Mer),"Camphouse, Mark", ,4,Kjos,2,
Symphonic Requiem ,"Nelhybel, Vaclav",,5,F. Colombo,1,
Symphonic Requiem: Seventh Symphony for Band ,"Barnes, James",,5,,1,
Symphonic Sketch,"Carter, Charles",,3,Queenwood,2,
Symphonic Songs for Band,"Bennett, Robert Russell", ,6,Hal Leonard ,5,
Symphonic Statements (mvts 1 & 2 or 2 & 3),"Beckham, Dwight",,5,TRN,1,
Symphonic Suite (play at least 4 mvmts.),"Williams, Clifton",,5,Alfred/Belwin/Summy-Birchard,7,
Symphonic Synthesis,"Canfield, David DeBoor",,5,TRN,1,
Symphonic Triptych,"Curnow, James",,4,Hal Leonard/Columbia,2,
Symphonie Fantastique - Dream of a Witches' Sabbath,"Berlioz, Hector","Patterson, Merlin",5,Merlin Patterson,1,
Symphonie for Band,"Jadin, Louis","Schaefer, William",3,Shawnee,5,
Symphonies of Wind Instruments,"Stravinsky, Igor",,6,Boosey & Hawkes,2,
Symphony for Band,"Bilik, Jerry",,6,RBC/Associated,3,
Symphony for Band,McGinnis,,5,Barnhouse,1,
Symphony for Band,"Washburn, Robert",,5,Oxford University,2,
Symphony for Band (1 mvt.),"Gould, Morton",,6,Hal Leonard/G. Schirmer,5,
Symphony for Band (mvt. 1),"Jager, Robert",,6,Warner Bros.,1,OOP
"Symphony for William, Op. 212","Bourgeois, Derek",,6,C. Alan,2,
Symphony for Winds and Percussion,"Downing, J.",,5,TRN,1,
Symphony for Winds and Percussion,"Grantham, Donald",,6,Piquant,2,
Symphony for Winds and Percussion,"Zaninelli, Luigi", ,5,C. Alan,1,
"Symphony for Winds: ""My Brother's Brain""","Pann, Carter",,6,,1,
"Symphony from ""The Fairy Queen""","Purcell, Henry",Cipolla,4,Kendor,2,OOP
Symphony in Bb (any mvt.)(4 mvts. published separately),"Fauchet, Paul",Gilliette-Watson ,5,Belwin/Witmark,4,OOP/pub. sep.)
"Symphony in Bb, Op. 51 (any mvt.)","Hindemith, Paul",,6,Belwin/Schott/Associated,7,
Symphony in D Minor (1st mvt. only),"Franck, Cesar",Malone,6,G. Schirmer,1,OOP
Symphony in Eb,Mahoney,,6,Self,1,
Symphony in One Movement,"Giovannini, Caesar","Robinson, Wayne",4,Doran/RBC,2,
Symphony No. 1,"Bukvich, Daniel",,5,Jenson,1,
Symphony No. 1,"Smith, Claude T.",,6,Jenson,2,
Symphony No. 1,"Ticheli, Frank","Green, Gary",6,Manhattan Beach ,3,
Symphony No. 1 (1st mvt. only),"Sibelius, Jean",Wilson,6,TRN,2,
Symphony No. 1 (In Memoriam David Diamond),"Stamp, Jack",,6,Hal Leonard,2,
Symphony No. 1 for Band,"Stephenson, James",,5,Self,1,
"Symphony No. 1, Finale","Brahms, Johannes","Hindsley, Mark",6,Hindsley Transcriptions,1,
"Symphony No. 1, Mvt. 1","Brahms, Johannes","Hindsley, Mark",6,Hindsley Transcriptions,1,
"Symphony No. 15, Finale","Mozart, W.A.","Daehn, Larry",2,Daehn,3,
Symphony No. 19,"Miaskovsky, Nikolai",Hinman,5,,1,
Symphony No. 2 (mvt. 1),"Borodin, Alexander","Leidzen, Erik",5,Carl Fischer,2,
Symphony No. 2 (mvt. 1&2),"Ticheli, Frank",,6,Manhattan Beach ,7,
Symphony No. 2 (mvt. 3),"Ticheli, Frank",,6,Manhattan Beach,6,
Symphony No. 2 (mvt. 4),"Mahler, Gustav",McIntyre,4,Masters,1,
Symphony No. 2 for Winds and Percussion,"Chance, John Barnes",,6,Boosey & Hawkes,7,
"Symphony No. 2, ""after Hafiz""","Grantham, Donald",,6,Piquant ,1,
"Symphony No. 2, ""Epitaphs Unwritten""","Walczyk, Kevin",,6,,1,
"Symphony No. 2, ""Romantic"" (mvt. 2)","Hanson, Howard","Goldberg, Norman",5,Carl Fischer,3,
"Symphony No. 2, ""Romantic"" (mvt. 3)","Hanson, Howard","McBeth, W. Francis",6,Carl Fischer,4,
"Symphony No. 2, ""Voices""","Stephenson, James",,6,Self,2,
